Date,Price,Open,High,Low,Vol.,Change %
2005-01-04,4847,4814.3,4851.6,4809.4,-,0.68%
2005-01-05,4806,4847,4847,4806,-,-0.85%
2005-01-06,4824.3,4806,4833.3,4806,-,0.38%
2005-01-07,4854.1,4824.3,4863.5,4819.8,-,0.62%
2005-01-10,4840.7,4854.1,4858.9,4833.4,-,-0.28%
2005-01-11,4818.7,4840.7,4847.6,4805,-,-0.45%
2005-01-12,4783.6,4818.7,4823.2,4765.4,-,-0.73%
2005-01-13,4800.3,4783.6,4809.8,4782.5,-,0.35%
2005-01-14,4820.8,4800.3,4831.6,4786.5,-,0.43%
2005-01-17,4846.7,4820.8,4846.7,4820.8,-,0.54%
2005-01-18,4823.9,4846.7,4852.8,4800.8,-,-0.47%
2005-01-19,4818.3,4823.9,4845.4,4817.5,-,-0.12%
2005-01-20,4800.8,4818.3,4818.3,4783.3,-,-0.36%
2005-01-21,4803.3,4800.8,4813.9,4785.6,-,0.05%
2005-01-24,4812.5,4803.3,4814,4770.1,-,0.19%
2005-01-25,4843.2,4812.5,4850,4803.7,-,0.64%
2005-01-26,4847.1,4843.2,4860.3,4839,-,0.08%
2005-01-27,4853.4,4847.1,4860.3,4835,-,0.13%
2005-01-28,4832.8,4853.4,4860.4,4827.3,-,-0.42%
2005-01-31,4852.3,4832.8,4879.5,4832.8,-,0.40%
2005-02-01,4906.2,4852.3,4906.2,4852.3,-,1.11%
2005-02-02,4916.2,4906.2,4918.8,4897.5,-,0.20%
2005-02-03,4908.3,4916.2,4924.1,4898.4,-,-0.16%
2005-02-04,4941.5,4908.3,4947.4,4908.3,-,0.68%
2005-02-07,4979.8,4941.5,4982.8,4941.5,-,0.78%
2005-02-08,4995.5,4979.8,4995.5,4968.7,-,0.32%
2005-02-09,4990.4,4995.5,5003,4974.5,-,-0.10%
2005-02-10,5000,4990.4,5014.8,4977.3,-,0.19%
2005-02-11,5044.2,5000.1,5045,5000.1,-,0.88%
2005-02-14,5041.8,5044.2,5049.6,5030.5,-,-0.05%
2005-02-15,5058.9,5041.8,5065.7,5036.1,-,0.34%
2005-02-16,5053.2,5058.9,5059.5,5035.5,-,-0.11%
2005-02-17,5057.4,5053.2,5077.6,5051.8,-,0.08%
2005-02-18,5057.2,5057.4,5066.5,5045.5,-,0.00%
2005-02-21,5060.8,5057.2,5077.8,5047.5,-,0.07%
2005-02-22,5032.9,5060.8,5063.3,5013.2,-,-0.55%
