Date,Price,Open,High,Low,Vol.,Change %
2005-01-03,10750.00,10781.00,10876.00,10711.00,113.28K,-0.17%
2005-01-04,10648.00,10748.00,10777.00,10608.00,127.40K,-0.95%
2005-01-05,10587.00,10650.00,10689.00,10578.00,116.28K,-0.57%
2005-01-06,10621.00,10590.00,10677.00,10590.00,107.87K,0.32%
2005-01-07,10599.00,10619.00,10664.00,10573.00,110.50K,-0.21%
2005-01-10,10628.00,10613.00,10673.00,10585.00,96.26K,0.27%
2005-01-11,10558.00,10622.00,10634.00,10533.00,101.96K,-0.66%
2005-01-12,10605.00,10584.00,10627.00,10501.00,126.81K,0.45%
2005-01-13,10502.00,10616.00,10620.00,10481.00,100.99K,-0.97%
2005-01-14,10547.00,10506.00,10567.00,10497.00,66.75K,0.43%
2005-01-18,10620.00,10560.00,10635.00,10504.00,90.50K,0.69%
2005-01-19,10529.00,10623.00,10628.00,10489.00,81.76K,-0.86%
2005-01-20,10473.00,10496.00,10548.00,10456.00,114.51K,-0.53%
2005-01-21,10393.00,10481.00,10512.00,10383.00,96.71K,-0.76%
2005-01-24,10383.00,10407.00,10441.00,10367.00,116.20K,-0.10%
2005-01-25,10466.00,10392.00,10510.00,10391.00,93.27K,0.80%
2005-01-26,10488.00,10479.00,10531.00,10473.00,86.90K,0.21%
2005-01-27,10468.00,10480.00,10499.00,10424.00,94.30K,-0.19%
2005-01-28,10447.00,10474.00,10482.00,10378.00,93.05K,-0.20%
2005-01-31,10485.00,10481.00,10507.00,10452.00,72.68K,0.36%
2005-02-01,10542.00,10481.00,10567.00,10467.00,67.31K,0.54%
2005-02-02,10585.00,10553.00,10617.00,10537.00,73.56K,0.41%
2005-02-03,10586.00,10577.00,10597.00,10544.00,67.60K,0.01%
2005-02-04,10695.00,10585.00,10720.00,10571.00,87.11K,1.03%
2005-02-07,10700.00,10711.00,10726.00,10690.00,58.19K,0.05%
2005-02-08,10722.00,10698.00,10742.00,10692.00,66.81K,0.21%
2005-02-09,10673.00,10720.00,10756.00,10658.00,85.17K,-0.46%
2005-02-10,10746.00,10668.00,10767.00,10668.00,83.19K,0.68%
2005-02-11,10806.00,10755.00,10834.00,10706.00,91.59K,0.56%
2005-02-14,10793.00,10813.00,10819.00,10777.00,45.83K,-0.12%
2005-02-15,10838.00,10790.00,10854.00,10783.00,74.06K,0.42%
2005-02-16,10837.00,10841.00,10860.00,10785.00,67.53K,-0.01%
2005-02-17,10759.00,10838.00,10845.00,10755.00,86.54K,-0.72%
2005-02-18,10797.00,10761.00,10798.00,10731.00,68.38K,0.35%
2005-02-22,10618.00,10787.00,10789.00,10610.00,107.03K,-1.66%
2005-02-23,10686.00,10618.00,10705.00,10610.00,92.60K,0.64%
2005-02-24,10751.00,10688.00,10763.00,10647.00,97.05K,0.61%
2005-02-25,10842.00,10751.00,10850.00,10736.00,71.75K,0.85%
2005-02-28,10778.00,10845.00,10864.00,10731.00,85.60K,-0.59%
2005-03-01,10827.00,10775.00,10857.00,10763.00,83.26K,0.45%
2005-03-02,10812.00,10809.00,10876.00,10779.00,112.21K,-0.14%
2005-03-03,10826.00,10809.00,10872.00,10767.00,109.70K,0.13%
2005-03-04,10956.00,10825.00,10971.00,10824.00,91.68K,1.20%
2005-03-07,10938.00,10970.00,10983.00,10926.00,36.15K,-0.16%
2005-03-08,10917.00,10925.00,10956.00,10900.00,86.42K,-0.19%
2005-03-09,10802.00,10916.00,10946.00,10794.00,124.96K,-1.05%
2005-03-10,10844.00,10809.00,10871.00,10774.00,30.96K,0.39%
2005-03-11,10785.00,10854.00,10877.00,10763.00,11.65K,-0.54%
2005-03-14,10812.00,10790.00,10817.00,10754.00,7.42K,0.25%
2005-03-15,10751.00,10809.00,10843.00,10746.00,5.17K,-0.56%
2005-03-16,10632.00,10750.00,10782.00,10613.00,7.08K,-1.11%
2005-03-17,10625.00,10641.00,10661.00,10596.00,4.77K,-0.07%
2005-03-18,10635.00,10660.00,10679.00,10579.00,111.77K,0.09%
2005-03-21,10581.00,10635.00,10650.00,10557.00,94.60K,-0.51%
2005-03-22,10488.00,10577.00,10634.00,10464.00,116.23K,-0.88%
2005-03-23,10470.00,10479.00,10519.00,10451.00,115.13K,-0.17%
2005-03-24,10468.00,10478.00,10542.00,10461.00,75.46K,-0.02%
2005-03-28,10504.00,10491.00,10550.00,10481.00,74.32K,0.34%
2005-03-29,10437.00,10505.00,10542.00,10412.00,120.14K,-0.64%
2005-03-30,10558.00,10440.00,10571.00,10438.00,111.25K,1.16%
2005-03-31,10520.00,10560.00,10573.00,10504.00,81.27K,-0.36%
2005-04-01,10431.00,10527.00,10586.00,10395.00,130.36K,-0.85%
2005-04-04,10440.00,10421.00,10460.00,10370.00,104.92K,0.09%
2005-04-05,10480.00,10445.00,10492.00,10436.00,87.16K,0.38%
2005-04-06,10522.00,10486.00,10544.00,10486.00,94.83K,0.40%
