Date,Price,Open,High,Low,Vol.,Change %
2005-01-03,81.41,81.11,81.63,81.11,4.84K,0.51%
2005-01-04,82.7,81.41,82.85,81.41,9.16K,1.58%
2005-01-05,82.65,82.65,83.01,82.4,3.80K,-0.06%
2005-01-06,83.24,82.51,83.35,82.51,4.45K,0.71%
2005-01-07,83.72,83.18,83.9,82.72,7.40K,0.58%
2005-01-10,83.36,83.63,83.63,83.21,2.06K,-0.43%
2005-01-11,83.07,83.25,83.27,82.83,1.54K,-0.35%
2005-01-12,82.18,83.1,83.3,82.05,4.57K,-1.07%
2005-01-13,82.57,82.32,82.59,82.26,0.71K,0.47%
2005-01-14,83.13,82.56,83.39,82.55,1.71K,0.68%
2005-01-18,83.46,83.6,83.73,83.2,1.00K,0.40%
2005-01-19,83.64,83.48,83.86,82.95,2.01K,0.22%
2005-01-20,83.93,83.59,84.07,83.51,2.55K,0.35%
2005-01-21,83.34,83.92,84.05,83.21,2.26K,-0.70%
2005-01-24,83.27,83.18,83.5,83.08,1.59K,-0.08%
2005-01-25,84.07,83.43,84.14,83.3,3.58K,0.96%
2005-01-26,83.37,83.97,83.98,83.11,2.13K,-0.83%
2005-01-27,83.47,83.29,83.66,83.15,1.62K,0.12%
2005-01-28,83.53,83.4,83.9,83.3,1.34K,0.07%
2005-01-31,83.64,83.68,83.86,83.43,0.72K,0.13%
2005-02-01,83.47,83.57,83.83,83.46,1.87K,-0.20%
2005-02-02,83.55,83.45,83.73,83.27,0.78K,0.10%
2005-02-03,84.03,83.6,84.2,83.6,2.61K,0.57%
2005-02-04,84.45,84.01,84.48,83.45,3.32K,0.50%
2005-02-07,85.1,84.51,85.32,84.51,4.43K,0.77%
2005-02-08,85.14,85.18,85.42,85,1.55K,0.05%
2005-02-09,85.07,85.15,85.35,84.9,1.76K,-0.08%
2005-02-10,84.57,84.96,85.46,84.38,5.19K,-0.59%
2005-02-11,84.61,84.58,84.76,84.41,0.98K,0.05%
2005-02-14,84,84.51,84.51,83.8,2.50K,-0.72%
2005-02-15,83.6,83.97,84.05,83.46,2.73K,-0.48%
2005-02-16,83.72,83.6,84.2,83.51,3.59K,0.14%
2005-02-17,83.48,83.83,83.88,83.37,2.63K,-0.29%
2005-02-18,83.52,83.48,83.79,83.44,0K,0.05%
2005-02-22,82.41,82.76,82.87,82.38,10.89K,-1.33%
2005-02-23,82.67,82.45,82.98,82.43,2.77K,0.32%
2005-02-24,82.89,82.9,83.1,82.57,3.26K,0.27%
2005-02-25,82.65,82.97,83.15,82.62,1.65K,-0.29%
2005-02-28,82.51,82.5,82.57,82.28,1.53K,-0.17%
2005-03-01,82.76,82.68,82.88,82.55,1.04K,0.30%
2005-03-02,83.1,82.9,83.34,82.9,1.78K,0.41%
2005-03-03,83.31,83.04,83.4,83,0.80K,0.25%
2005-03-04,82.53,83.3,83.4,82.43,4.59K,-0.94%
2005-03-07,82.78,82.52,82.91,82.5,9.30K,0.30%
2005-03-08,81.97,82.67,82.71,81.83,3.61K,-0.98%
2005-03-09,81.62,81.93,82.05,81.48,2.77K,-0.43%
2005-03-10,81.55,81.72,81.78,81.41,2.44K,-0.09%
2005-03-11,81.42,81.48,81.75,81.27,1.20K,-0.16%
2005-03-14,81.84,81.27,81.9,81.46,0.08K,0.52%
2005-03-15,82.13,82,82.2,81.6,1.70K,0.35%
2005-03-16,81.58,82.1,82.24,81.43,2.64K,-0.67%
2005-03-17,81.81,81.55,82.03,81.55,1.65K,0.28%
2005-03-18,82.1,81.72,82.4,81.75,2.51K,0.35%
2005-03-21,82.84,82.05,83.07,82.05,4.14K,0.90%
2005-03-22,83.35,83,83.46,82.61,6.52K,0.62%
2005-03-23,84.01,83.4,84.1,83.34,6.91K,0.79%
2005-03-24,84.11,83.97,84.16,83.74,2.60K,0.12%
2005-03-28,84.61,84.3,84.75,84.27,2.69K,0.59%
2005-03-29,84.3,84.58,84.58,84.19,1.87K,-0.37%
2005-03-30,84.25,84.28,84.3,83.97,1.66K,-0.06%
2005-03-31,84.05,84.35,84.38,83.72,1.35K,-0.24%
2005-04-01,84.4,84.1,84.65,83.5,4.78K,0.42%
2005-04-04,84.78,84.47,84.95,84.44,4.01K,0.45%
2005-04-05,84.6,84.79,85.09,84.59,2.29K,-0.21%
2005-04-06,84.68,84.69,84.86,84.4,1.47K,0.09%
2005-04-07,84.88,84.77,84.89,84.31,2.33K,0.24%
2005-04-08,84.41,84.89,85.1,84.38,2.41K,-0.55%
2005-04-11,84.12,84.51,84.51,84.02,2.81K,-0.34%
2005-04-12,84.4,84.18,84.8,83.95,4.06K,0.33%
2005-04-13,84.4,84.47,84.75,84.16,2.10K,0.00%
2005-04-14,84.99,84.4,85.31,84.4,5.00K,0.70%
2005-04-15,84.5,85.12,85.14,84.32,2.67K,-0.58%
2005-04-18,83.97,84.45,84.71,83.81,4.99K,-0.63%
2005-04-19,83.71,84,84.09,83.67,1.16K,-0.31%
2005-04-20,83.48,83.63,84.06,83.38,3.93K,-0.27%
2005-04-21,83.71,83.49,83.86,83.33,1.63K,0.28%
2005-04-22,83.45,83.67,83.84,83.31,1.14K,-0.31%
2005-04-25,83.79,83.42,83.98,83.41,1.99K,0.41%
2005-04-26,83.94,83.82,84.15,83.78,2.08K,0.18%
2005-04-27,84.1,83.94,84.34,83.84,3.48K,0.19%
2005-04-28,84.36,84.2,84.43,84.07,2.52K,0.31%
2005-04-29,84.42,84.34,84.49,83.84,3.31K,0.07%
2005-05-02,84.45,84.47,84.63,84.42,1.48K,0.04%
2005-05-03,84.46,84.52,84.6,84.26,1.55K,0.01%
2005-05-04,83.95,84.32,84.37,83.86,2.19K,-0.60%
2005-05-05,83.94,83.91,84.02,83.72,2.91K,-0.01%
2005-05-06,84.62,83.86,84.69,83.9,4.14K,0.81%
2005-05-09,84.6,84.67,84.76,84.55,1.70K,-0.02%
2005-05-10,84.45,84.57,84.77,84.38,1.67K,-0.18%
2005-05-11,84.95,84.42,85.06,84.2,5.17K,0.59%
2005-05-12,85.52,84.9,85.62,84.9,11.50K,0.67%
2005-05-13,86.1,85.67,86.13,85.61,4.90K,0.68%
2005-05-16,86.12,86.24,86.38,86.05,3.86K,0.02%
2005-05-17,86.2,86.12,86.28,85.94,2.84K,0.09%
2005-05-18,85.81,86.3,86.43,85.75,4.78K,-0.45%
2005-05-19,86.1,85.88,86.3,85.81,2.93K,0.34%
2005-05-20,86.67,86.09,86.75,86.06,3.10K,0.66%
2005-05-23,86.37,86.67,86.71,86.27,3.23K,-0.35%
2005-05-24,86.39,86.42,86.5,86.11,1.67K,0.02%
2005-05-25,86.35,86.44,86.57,86.15,1.23K,-0.05%
2005-05-26,86.87,86.32,86.94,86.3,3.76K,0.60%
2005-05-27,86.41,86.89,86.9,86.4,1.53K,-0.53%
2005-05-31,87.8,86.9,87.8,86.82,5.64K,1.61%
2005-06-01,88.14,87.73,88.18,87.6,4.78K,0.39%
2005-06-02,87.74,88.34,88.34,87.7,4.08K,-0.45%
2005-06-03,88.04,87.83,88.18,87.48,10.63K,0.34%
2005-06-06,87.6,87.96,88.05,87.5,10.73K,-0.50%
2005-06-07,87.48,87.63,87.82,87.32,2.79K,-0.14%
2005-06-08,87.9,87.48,88.07,87.12,4.20K,0.48%
2005-06-09,88.05,87.85,88.3,87.79,2.47K,0.17%
2005-06-10,88.72,88.02,88.79,87.9,1.25K,0.76%
